country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,26,Total,Units,Index,,Free,,Total
Afghanistan,AF,AFG,4,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,36,Total,Units,Index,,Free,,Total
Afghanistan,AF,AFG,4,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,38,Total,Units,Index,,Free,,Total
Afghanistan,AF,AFG,4,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,42,Total,Units,Index,,Free,,Total
Afghanistan,AF,AFG,4,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,46,Total,Units,Index,,Free,,Total
Afghanistan,AF,AFG,4,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,48,Total,Units,Index,,Free,,Total
Afghanistan,AF,AFG,4,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,47,Total,Units,Index,,Free,,Total
Albania,AL,ALB,8,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,49,Total,Units,Index,,Free,,Total
Albania,AL,ALB,8,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,48,Total,Units,Index,,Free,,Total
Albania,AL,ALB,8,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,51,Total,Units,Index,,Free,,Total
Albania,AL,ALB,8,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,47,Total,Units,Index,,Free,,Total
Albania,AL,ALB,8,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,45,Total,Units,Index,,Free,,Total
Albania,AL,ALB,8,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,46,Total,Units,Index,,Free,,Total
Albania,AL,ALB,8,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,48,Total,Units,Index,,Free,,Total
Algeria,DZ,DZA,12,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,68,Total,Units,Index,,Free,,Total
Algeria,DZ,DZA,12,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,69,Total,Units,Index,,Free,,Total
Algeria,DZ,DZA,12,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,73,Total,Units,Index,,Free,,Total
Algeria,DZ,DZA,12,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,73,Total,Units,Index,,Free,,Total
Algeria,DZ,DZA,12,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,70,Total,Units,Index,,Free,,Total
Algeria,DZ,DZA,12,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,68,Total,Units,Index,,Free,,Total
Algeria,DZ,DZA,12,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,68,Total,Units,Index,,Free,,Total
Andorra,AD,AND,20,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,83,Total,Units,Index,,Free,,Total
Andorra,AD,AND,20,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,85,Total,Units,Index,,Free,,Total
Andorra,AD,AND,20,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,87,Total,Units,Index,,Free,,Total
Andorra,AD,AND,20,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,87,Total,Units,Index,,Free,,Total
Andorra,AD,AND,20,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,88,Total,Units,Index,,Free,,Total
Andorra,AD,AND,20,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,88,Total,Units,Index,,Free,,Total
